ex en
11029.30 25926.00
14323.40 97498.00
19608.80 31654.00
52270.10 734.00
14697.20 18151.00
16992.80 13685.00
13358.40 10830.00
12956.20 27217.00
13774.80 26417.00
14115.10 33614.00
13883.30 7040.00
16477.30 76192.00
11123.50 11816.00
15109.70 44402.00
16040.10 30931.00
13872.60 35890.00
15477.40 12372.00
24644.70 1650879.00
16892.10 107491.00
27010.30 7868.00
19836.70 545439.00
15341.20 34932.00
15840.10 498708.00
13330.90 11803.00
21832.00 255890.00
13314.80 10457.00
15006.60 638644.00
20807.20 527191.00
20223.10 62328.00
15113.90 244395.00
13498.90 7932.00
13253.40 27566.00
14685.10 13494.00
18261.60 71321.00
24824.30 363588.00
14798.50 11403.00
15935.80 10209.00
27800.70 2258.00
44051.50 1347467.00
22641.00 78761.00
24046.50 15320.00
15598.90 9946.00
17297.90 275413.00
16276.00 140765.00
15199.00 43610.00
13557.10 16345.00
13114.60 9479.00
12920.40 12753.00
19834.30 42824.00
12797.60 10419.00
14647.10 86115.00
13886.30 11415.00
12146.60 29153.00
30727.00 9413.00
18958.40 4388712.00
22193.80 138856.00
14546.00 10874.00
13630.80 5762.00
15070.50 23345.00
13016.10 23707.00
15349.50 11362.00
28756.70 52415.00
32385.00 20519.00
43367.10 1237.00
13132.40 12036.00
16821.10 56687.00
14204.50 215602.00
38146.80 57.00
14490.60 22749.00
12278.70 2323.00
22478.90 106710.00
17498.90 47360.00
14270.70 26697.00
15678.30 941.00
11290.00 339.00
13535.70 7184.00
7774.00 3898.00
16045.70 13649.00
22260.30 24915.00
10335.70 6953.00
11294.20 10294.00
13192.90 1652.00
10878.00 886.00
18424.00 126456.00
10159.60 428.00
12983.60 12998.00
12806.40 4432.00
11982.40 41.00
11065.80 31213.00
23088.10 20249.00
15347.80 7725.00
